Observable,Valeur
N_observations,8761
N_transitions,8760
D_T_mean_km,49460.67299594374
D_T_std_km,326.5757888350955
D_T_norm_std,0.0066027364581528825
D_T_min_km,48991.00315563903
D_T_median_km,49459.6762717839
D_T_max_km,49933.48347419306
Quantile_critique,0.95
D_c_km,49917.13258483476
N_supercritique,438
R_super,0.05
u_min,0.9811252840182655
u_mean,0.9905311937931655
u_median,0.9905112327551904
u_max,1.0
u_c,0.9996725465915722
Meilleur_modele_survie,Logistique
Logistique_u0,0.9905257661743262
Logistique_k,204.79322413483573
Logistique_R2,0.9690465561604695
Logistique_RMSE,0.05078832168599649
Weibull_lambda,0.9937789076846812
Weibull_k,140.77732089027486
Weibull_R2,0.9680795029339155
Exponentiel_A_H,1.5192066905140256e+37
Exponentiel_B_H,87.27942617469363
Exponentiel_R2,0.9532973209233532
N_angles,8759
theta_mean_deg,4.224044638241646
theta_median_deg,4.223537592480744
theta_std_deg,0.027478104657035457
theta_min_deg,4.1856947792170525
theta_q05_deg,4.186715527923283
theta_q95_deg,4.262676073995939
theta_q99_deg,4.263846404664517
theta_max_deg,4.264313427934371
R_170,0.0
R_175,0.0
R_180,0.0
T_theta_heures,85.22637207495471
T_theta_jours,3.5510988364564464
T_theta_secondes,306814.93946983694
