rang_global,paire,temps_rencontre,distance_min_locale,temps_transition_GVH,D_T_proche,u_proche,supercritique,temps_angle,theta_proche_deg,percentile_D_T,percentile_theta
1,2-3,18.42,0.024896823804536852,18.42,9.06367018131982,0.4988389318882754,True,18.42,46.956126630639545,99.425,98.73734216777098
2,1-2,66.99,0.024982602187225696,66.99,9.522742562430949,0.5241049854484389,True,66.99,59.51018880130589,99.47500000000001,98.87485935741968
3,1-2,62.13,0.025048948562932667,62.13,9.039468086548224,0.49750691661589663,True,62.13,54.43794338019076,99.41250000000001,98.82485310663833
4,1-2,75.32000000000001,0.025168408858899247,75.32000000000001,9.393202213909944,0.5169754487596664,True,75.32000000000001,58.57054353463701,99.46249999999999,98.849856232029
5,1-2,71.85000000000001,0.025930281062383202,71.85000000000001,10.11208047702853,0.5565404878396248,True,71.85000000000001,68.60406655416837,99.6125,98.93736717089637
6,1-2,57.27,0.026003182499011807,57.27,10.498849403109983,0.5778271624553546,True,57.27,73.09717509639312,99.8625,98.9873734216777
7,1-2,70.46000000000001,0.02619401542870084,70.46000000000001,8.270025548364599,0.4551589619553232,True,70.46000000000001,48.91304317149679,99.38749999999999,98.76234529316164
8,1-2,78.79,0.02620535955473116,78.79,8.322846929601681,0.45806610231569017,True,78.79,49.49024008583347,99.4,98.77484685585698
9,1-2,63.52,0.026504887619058927,63.52,10.333622685884821,0.56873354833534,True,63.52,72.60408933093396,99.7875,98.97487185898237
10,2-3,1.1,0.0265352463608584,1.1,16.114141405591834,0.8868770515976062,True,1.1,128.471125550284,99.97500000000001,99.83747968496061
