paire,index,temps,distance
2-3,1842,18.42,0.024896823804536852
1-2,6699,66.99,0.024982602187225696
1-2,6213,62.13,0.025048948562932667
1-2,7532,75.32000000000001,0.025168408858899247
1-2,7185,71.85000000000001,0.025930281062383202
1-2,5727,57.27,0.026003182499011807
1-2,7046,70.46000000000001,0.02619401542870084
1-2,7879,78.79,0.02620535955473116
1-2,6352,63.52,0.026504887619058927
2-3,110,1.1,0.0265352463608584
1-2,5866,58.660000000000004,0.027683866142143177
1-2,6560,65.6,0.028316310224980632
1-2,6838,68.38,0.028588434084561645
1-2,7671,76.71000000000001,0.028678312417294086
1-2,7393,73.93,0.029037427341347784
1-2,6074,60.74,0.02904332403036868
2-3,952,9.52,0.029847888341993395
1-2,7324,73.24,0.032246556047636474
1-2,6005,60.050000000000004,0.03266539185451127
1-2,6907,69.07000000000001,0.032740076888103466
1-2,7740,77.4,0.0327480840053122
1-2,6491,64.91,0.033109274560232424
1-2,5588,55.88,0.03462447377740118
1-2,5935,59.35,0.035064601289985696
1-2,6421,64.21000000000001,0.0359481635754501
1-2,6977,69.77,0.036704183570669846
1-2,7810,78.10000000000001,0.03695894033193621
1-2,7254,72.54,0.03739232833213753
1-3,3731,37.31,0.03758877046565811
1-2,5657,56.57,0.038064217598230636
1-2,5518,55.18,0.038770313298012025
1-2,5796,57.96,0.0397666313472814
1-2,6144,61.44,0.04003064000350168
2-3,541,5.41,0.040598230897657205
1-2,7463,74.63,0.04144256554074712
1-2,6768,67.68,0.04180137508200243
1-2,6630,66.3,0.04200949005374945
1-2,7601,76.01,0.04204040491705018
1-2,1785,17.85,0.04436102357278264
1-2,6282,62.82,0.044729964919235955
1-2,7116,71.16,0.046273518254381585
1-2,7948,79.48,0.04661864707198177
2-3,5441,54.410000000000004,0.047611419908548495
1-2,926,9.26,0.04784811931099115
1-2,2133,21.330000000000002,0.04990155821477993
1-3,5447,54.47,0.05807261205532654
1-3,2098,20.98,0.0644873563210494
1-3,758,7.58,0.10445342795534449
1-2,3756,37.56,0.13312787577935295
1-2,3927,39.27,0.13591385932576427
1-2,4011,40.11,0.13610606985297807
1-2,3843,38.43,0.1361675891955418
1-2,4095,40.95,0.1362131111790291
