time,E12,E13,E23
0.0,-0.33099999999374996,-0.6659598761447921,-0.7896292636109601
0.01,-0.33029905536837323,-0.6648645542713506,-0.7902633480648134
0.02,-0.329532564860351,-0.6637505776065349,-0.7908896054155679
0.03,-0.32870001698782464,-0.6626176804829115,-0.7915080758785918
0.04,-0.32780084002299,-0.6614655868474183,-0.7921188021251865
0.05,-0.3268344008081544,-0.6602940099708348,-0.7927218294677224
0.06,-0.3258000034246579,-0.6591026521395185,-0.793317206071101
0.07,-0.32469688771840866,-0.6578912043347734,-0.7939049831813791
0.08,-0.32352422767033046,-0.6566593458957397,-0.7944852153778019
0.09,-0.3222811296049021,-0.6554067441647269,-0.7950579608510263
0.1,-0.3209666302302311,-0.6541330541146122,-0.7956232817091891
0.11,-0.319579694502144,-0.6528379179578672,-0.7961812443135617
0.12,-0.31811921330378284,-0.6515209647367116,-0.7967319196456772
0.13,-0.31658400093116823,-0.6501818098938295,-0.7972753837079609
0.14,-0.31497279237411757,-0.6488200548229826,-0.7978117179601134
0.15,-0.31328424038079644,-0.6474352863987666,-0.7983410097937225
0.16,-0.31151691229301093,-0.6460270764846276,-0.7988633530478799
0.17,-0.30966928663814697,-0.6445949814181313,-0.799378848568919
0.18,-0.30773974945758087,-0.6431385414663978,-0.7998876048302617
0.19,-0.30572659035856253,-0.6416572802566802,-0.8003897386194362
0.2,-0.30362799828175385,-0.640150704188117,-0.8008853757470172
0.21,-0.301442056946701,-0.6386183018056805,-0.801374651851303
0.22,-0.29916673997028204,-0.6370595431584302,-0.8018577132591898
0.23,-0.2967999056228045,-0.635473879123123,-0.8023347179266243
0.24,-0.2943392911977035,-0.6338607406933803,-0.8028058364654198
0.25,-0.2917825069682163,-0.6322195382348991,-0.8032712532632977
0.26,-0.2891270297013636,-0.6305496607070006,-0.8037311677048085
0.27,-0.28637019569636324,-0.6288504748505468,-0.8041857955017685
0.28,-0.2835091933112135,-0.627121324341904,-0.8046353701429995
0.29,-0.2805410549375924,-0.6253615289121773,-0.8050801444745246
0.3,-0.27746264838041346,-0.6235703834303719,-0.8055203924229815
0.31,-0.2742706675943411,-0.621747156948434,-0.8059564108768802
0.32,-0.27096162272487195,-0.6198910917045777,-0.8063885217429165
0.33,-0.2675318293711202,-0.6180014020443552,-0.8068170742192499
0.34,-0.2639773970557605,-0.6160772733487299,-0.8072424472499511
0.35000000000000003,-0.2602942168127648,-0.6141178609013733,-0.8076650522207035
0.36,-0.25647794780640953,-0.6121222887184932,-0.8080853359108005
0.37,-0.252524002907529,-0.6100896483360194,-0.808503783724841
0.38,-0.24842753312938276,-0.6080189975387941,-0.8089209232422971
