time,energy,kinetic,potential,energy_rel_error,momentum_x,momentum_y,momentum_norm,angular_momentum_z,angular_rel_error
0.0,-1.874455806416169,0.17573333333333332,-2.0501891397495022,0.0,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,-0.8365333333333334,0.0
0.01,-1.8744558064161694,0.1780576974232641,-2.0525135038394335,2.369163403746129e-16,-1.3877787807814457e-17,-2.7755575615628914e-17,3.1031676915590914e-17,-0.8365333333333335,1.3271712917897153e-16
0.02,-1.8744558064161692,0.18056611706743067,-2.0550219234836,1.1845817018730646e-16,-2.0816681711721685e-17,-1.3877787807814457e-17,2.5018537765542006e-17,-0.8365333333333332,1.3271712917897153e-16
0.03,-1.874455806416216,0.1832600661337754,-2.0577158725499913,2.5113132079708968e-14,2.0816681711721685e-17,-6.938893903907228e-17,7.244417918960238e-17,-0.8365333333336401,3.6669742792149834e-13
0.04,-1.8744558064167802,0.18614115484237068,-2.060596961259151,3.2611534252565467e-13,0.0,-6.938893903907228e-17,6.938893903907228e-17,-0.8365333333349421,1.9230712018032974e-12
0.05,-1.8744558064172836,0.18921113234114345,-2.063666938758427,5.946600143402785e-13,5.551115123125783e-17,-8.326672684688674e-17,1.0007415106216802e-16,-0.8365333333339013,6.789808328796184e-13
0.06,-1.8744558064173789,0.19247188956420253,-2.0669276959815814,6.454785693506329e-13,6.938893903907228e-17,-5.551115123125783e-17,8.886119947416683e-17,-0.836533333333676,4.0956506064630614e-13
0.07,-1.8744558064173977,0.19592546236567293,-2.0703812687830707,6.555475138165539e-13,1.5265566588595902e-16,-8.326672684688674e-17,1.7388818282700985e-16,-0.8365333333372555,4.688630739634706e-12
0.08,-1.8744558064178367,0.1995740349479291,-2.074029841365766,8.897393162768588e-13,1.942890293094024e-16,-5.551115123125783e-17,2.0206364052201326e-16,-0.8365333333439913,1.274057896692291e-11
0.09,-1.874455806418774,0.20341994359623763,-2.0778757500150116,1.3897512526374794e-12,2.636779683484747e-16,-8.326672684688674e-17,2.7651296315394197e-16,-0.8365333333504017,2.0403666005716725e-11
0.1,-1.8744558064196117,0.2074656807311582,-2.08192148715077,1.8366939287541864e-12,3.608224830031759e-16,-1.1102230246251565e-16,3.775166431889533e-16,-0.8365333333527073,2.3159802627376428e-11
0.11,-1.8744558064192895,0.2117138992914331,-2.0861697057107227,1.664811123812405e-12,4.0245584642661925e-16,-5.551115123125783e-17,4.062661642740952e-16,-0.8365333333492203,1.899142303412329e-11
0.12,-1.8744558064169323,0.21616741746152113,-2.0906232238784535,4.072591891039596e-13,4.163336342344337e-16,-1.6653345369377348e-16,4.484050470211362e-16,-0.836533333341411,9.656100167674432e-12
0.13,-1.8744558064126673,0.22082922375941721,-2.0952850301720845,1.8680853438538228e-12,4.3021142204224816e-16,-1.1102230246251565e-16,4.443059973708341e-16,-0.8365333333331757,1.8845832343413958e-13
0.14,-1.8744558064081838,0.22570248250194083,-2.1001582889101247,4.259992716275915e-12,3.885780586188048e-16,-1.1102230246251565e-16,4.041272810440265e-16,-0.8365333333285792,5.683212905701919e-12
0.15,-1.874455806406428,0.23079053966628565,-2.1052463460727138,5.196641467946947e-12,3.3306690738754696e-16,-1.1102230246251565e-16,3.510833468576701e-16,-0.836533333329083,5.0809425734877465e-12
0.16,-1.8744558064096697,0.23609692916830277,-2.1105527355779725,3.46727064138246e-12,1.8041124150158794e-16,-8.326672684688674e-17,1.986996825864056e-16,-0.836533333332054,1.5292994795292889e-12
0.17,-1.8744558064150703,0.24162537957974603,-2.1160811859948163,5.861310260867924e-13,1.3877787807814457e-16,-1.6653345369377348e-16,2.1677797545656835e-16,-0.8365333333331416,2.2920248209208384e-13
0.18,-1.8744558064155505,0.24737982132262057,-2.121835627738171,3.299060039716485e-13,1.3877787807814457e-16,-1.6653345369377348e-16,2.1677797545656835e-16,-0.8365333333361388,3.3536291372234317e-12
