Observable,Valeur
Nombre_etats_originaux,8761
Nombre_transitions,8760
D_T_mean_km,39166.90819744146
S_T_km,56.907175996601765
S_T_norm,0.0014529402144721542
D_T_min_km,39053.483076601035
D_T_median_km,39166.78678530915
D_T_max_km,39279.164734426005
D_c_km,39255.27935473704
u_c,0.9993919071382892
N_super,438
R_super,0.05
theta_mean_deg,2.096566704010162
theta_median_deg,2.096543769645489
theta_std_deg,0.0030535871180260403
theta_max_deg,2.1029309184205003
R_170,0.0
R_175,0.0
R_180,0.0
Meilleur_modele_survie,Gompertz
Gompertz_a,0.2156853256216373
Gompertz_b,2.8495993437504596
Gompertz_R2,0.9934350986467242
Gompertz_RMSE,0.024529309498991844
Gompertz_MAE,0.022382772898671546
Gompertz_AIC,-1686.7962760814653
Gompertz_BIC,-1679.9375848235563
Gompertz_R_uc,0.07877808507829914
Gompertz_erreur_uc,0.02877808507829914
Periode_geometrique_h,171.70916301089187
Periode_FFT_h,171.7044450680943
Periode_fermeture_h,171.70918592040616
Periode_moyenne_interne_h,171.70759799979746
Periode_mediane_interne_h,171.70916301089187
Dispersion_inter_methodes_s,9.829954721001883
Etendue_inter_methodes_s,17.067068322728574
Periode_reference_JPL_h,171.73411199999998
Erreur_moyenne_reference_s,-95.45040072908932
Erreur_relative_moyenne_pct,0.015438982910119112
C_best_km,334.00188583391116
C_best_norm,0.00031202430545400426
Angle_fermeture_RMS_deg,0.014377902609075654
