       li6  he4    d                       tu19
      be10    n  be9                       wa19
      ne21  he4  o17                       be13
      na21    p ne20                       ly18
      na23    p ne22                       ke17
      si25    p al24                       lg18
      si26    p al25                       li20
       p31    p si30                       de20
      cl35    p  s34                       se19
      ar38  he4  s34                       cn18
      ca40    p  k39                       lo18
      zn58    p cu57                       la14
      as65    p ge64                       la16
      br75    p se74                       fo18
      br79    p se78                       fh18
      br81    p se80                       fa18
       he4    d  li6                       tu19
         n  be9 be10                       wa19
       he4  o17 ne21                       be13
         p ne20 na21                       ly18
         p ne22 na23                       ke17
         p al24 si25                       lg18
         p al25 si26                       li20
         p si30  p31                       de20
         p  s34 cl35                       se19
       he4  s34 ar38                       cn18
         p  k39 ca40                       lo18
         p cu57 zn58                       la14
         p ge64 as65                       la16
         p se74 br75                       fo18
         p se78 br79                       fh18
         p se80 br81                       fa18
         d    d    n  he3                  gi17
         d    d    p    t                  go17
         p    t    d    d                  go17
         n  he3    d    d                  gi17
         p  li7    n  be7                  db18
         n  be7    p  li7                  db18
       he4  f19    p ne22                  da18
       he4 ne18    p na21                  mo14
         p ne22  he4  f19                  da18
         p na21  he4 ne18                  mo14
       he4 ar38    n ca41                  ta18
       he4 ar38    p  k41                  tb18
         p  k41  he4 ar38                  tb18
         n ca41  he4 ar38                  ta18
