Grandeur,Valeur,Unite
Luminosité solaire,3.828e+26,W
Énergie déposée moyenne par cycle,4.1831584973961094e-12,J/cycle
Cycles proton-proton par seconde,9.150980060599701e+37,cycles/s
Protons consommés par seconde,3.6603920242398805e+38,protons/s
Électrons consommés par seconde,1.8301960121199402e+38,electrons/s
Noyaux He-4 produits par seconde,9.150980060599701e+37,noyaux/s
Masse de protons consommée,612245195731.6128,kg/s
Masse d'électrons consommée,166719577.4605011,kg/s
Masse initiale totale des réactifs,612411915309.0732,kg/s
Masse d'He-4 produite,608051255844.8096,kg/s
