Observable,Valeur
N_observations,8760
N_transitions,8759
Pas_temporel_heures,1.0
D_T_mean,0.001075680750031748
S_T,0.0002285163920935054
S_T_norm,0.21243885984457833
D_c_q95,0.0015114729137547709
u_c_q95,0.8179249141506556
R_super_q95,0.050005708414202536
A_H_exponentiel,1.4692221879699126
B_H_exponentiel,2.027090302366326
R2_exponentiel,0.7562090933813008
RMSE_exponentiel,0.2013217583019228
Meilleur_modele_survie,Logistique
u0_logistique,0.5782759832752148
k_logistique,14.399667783339385
R2_logistique,0.9993656684983784
RMSE_logistique,0.010269282551529181
AIC_logistique,-1094.8635478748183
theta_mean_deg,0.7096723112777269
theta_median_deg,0.6405068340415971
theta_std_deg,0.5916306522691224
theta_max_deg,3.987905815921233
R_180,0.0
T_longitude_jours,27.6269751576204
T_latitude_jours,27.209301968168283
Delta_T_heures,10.024156546850804
T_battement_jours_estime,1799.758108766421
T_best_closure_jours,27.333333333333332
C_best_chord,0.013350769692553681
C_best_norm,0.11968074356070645
closure_angle_mean_deg,0.7649555819557652
closure_angle_median_deg,0.7193140782367367
closure_angle_max_deg,2.2795582498645093
